"","state_one","state_two","mask_mandates_overLap"
"1132","OK","WI",113
"1133","OK","WV",88
"1134","OK","WY",266
"1135","OR","PA",193
"1136","OR","RI",212
"1137","OR","SC",82
"1138","OR","SD",82
"1139","OR","TN",82
"1140","OR","TX",264
"1141","OR","UT",161
"1142","OR","VA",233
"1143","OR","VT",235
"1144","OR","WA",261
"1145","OR","WI",235
"1146","OR","WV",260
"1147","OR","WY",82
"1148","PA","RI",247
"1149","PA","SC",9
"1150","PA","SD",9
"1151","PA","TN",9
"1152","PA","TX",191
"1153","PA","UT",88
"1154","PA","VA",226
"1155","PA","VT",162
"1156","PA","WA",198
"1157","PA","WI",162
"1158","PA","WV",187
"1159","PA","WY",9
"1160","RI","SC",28
"1161","RI","SD",28
"1162","RI","TN",28
"1163","RI","TX",210
"1164","RI","UT",107
"1165","RI","VA",245
"1166","RI","VT",181
"1167","RI","WA",217
"1168","RI","WI",181
"1169","RI","WV",206
"1170","RI","WY",28
"1171","SC","SD",266
"1172","SC","TN",266
"1173","SC","TX",84
"1174","SC","UT",187
"1175","SC","VA",49
"1176","SC","VT",113
"1177","SC","WA",77
"1178","SC","WI",113
"1179","SC","WV",88
"1180","SC","WY",266
"1181","SD","TN",266
"1182","SD","TX",84
"1183","SD","UT",187
"1184","SD","VA",49
"1185","SD","VT",113
"1186","SD","WA",77
"1187","SD","WI",113
"1188","SD","WV",88
"1189","SD","WY",266
"1190","TN","TX",84
"1191","TN","UT",187
"1192","TN","VA",49
"1193","TN","VT",113
"1194","TN","WA",77
"1195","TN","WI",113
"1196","TN","WV",88
"1197","TN","WY",266
"1198","TX","UT",163
"1199","TX","VA",231
"1200","TX","VT",237
"1201","TX","WA",259
"1202","TX","WI",237
"1203","TX","WV",262
"1204","TX","WY",84
"1205","UT","VA",128
"1206","UT","VT",192
"1207","UT","WA",156
"1208","UT","WI",192
"1209","UT","WV",167
"1210","UT","WY",187
"1211","VA","VT",202
"1212","VA","WA",238
"1213","VA","WI",202
"1214","VA","WV",227
"1215","VA","WY",49
"1216","VT","WA",230
"1217","VT","WI",266
"1218","VT","WV",241
"1219","VT","WY",113
"1220","WA","WI",230
"1221","WA","WV",255
"1222","WA","WY",77
"1223","WI","WV",241
"1224","WI","WY",113
"1225","WV","WY",88
