"","state_one","state_two","stay_at_home_orders_overLap"
"1125","OK","SD",70
"1126","OK","TN",72
"1127","OK","TX",165
"1128","OK","UT",69
"1129","OK","VA",69
"1130","OK","VT",165
"1131","OK","WA",179
"1132","OK","WI",121
"1133","OK","WV",165
"1134","OK","WY",69
"1135","OR","PA",55
"1136","OR","RI",252
"1137","OR","SC",143
"1138","OR","SD",54
"1139","OR","TN",200
"1140","OR","TX",210
"1141","OR","UT",37
"1142","OR","VA",83
"1143","OR","VT",262
"1144","OR","WA",248
"1145","OR","WI",80
"1146","OR","WV",251
"1147","OR","WY",37
"1148","PA","RI",89
"1149","PA","SC",157
"1150","PA","SD",183
"1151","PA","TN",95
"1152","PA","TX",56
"1153","PA","UT",204
"1154","PA","VA",244
"1155","PA","VT",85
"1156","PA","WA",91
"1157","PA","WI",265
"1158","PA","WV",81
"1159","PA","WY",209
"1160","RI","SC",125
"1161","RI","SD",31
"1162","RI","TN",182
"1163","RI","TX",250
"1164","RI","UT",12
"1165","RI","VA",53
"1166","RI","VT",282
"1167","RI","WA",272
"1168","RI","WI",104
"1169","RI","WV",283
"1170","RI","WY",13
"1171","SC","SD",188
"1172","SC","TN",219
"1173","SC","TX",108
"1174","SC","UT",164
"1175","SC","VA",194
"1176","SC","VT",115
"1177","SC","WA",106
"1178","SC","WI",137
"1179","SC","WV",126
"1180","SC","WY",175
"1181","SD","TN",138
"1182","SD","TX",68
"1183","SD","UT",257
"1184","SD","VA",222
"1185","SD","VT",25
"1186","SD","WA",17
"1187","SD","WI",170
"1188","SD","WV",36
"1189","SD","WY",222
"1190","TN","TX",172
"1191","TN","UT",111
"1192","TN","VA",133
"1193","TN","VT",172
"1194","TN","WA",163
"1195","TN","WI",76
"1196","TN","WV",183
"1197","TN","WY",109
"1198","TX","UT",41
"1199","TX","VA",15
"1200","TX","VT",240
"1201","TX","WA",231
"1202","TX","WI",62
"1203","TX","WV",251
"1204","TX","WY",18
"1205","UT","VA",243
"1206","UT","VT",9
"1207","UT","WA",8
"1208","UT","WI",191
"1209","UT","WV",9
"1210","UT","WY",257
"1211","VA","VT",55
"1212","VA","WA",47
"1213","VA","WI",233
"1214","VA","WV",44
"1215","VA","WY",246
"1216","VT","WA",276
"1217","VT","WI",110
"1218","VT","WV",281
"1219","VT","WY",9
"1220","WA","WI",104
"1221","WA","WV",272
"1222","WA","WY",8
"1223","WI","WV",101
"1224","WI","WY",191
"1225","WV","WY",9
