"","from","to","bars_overLap","width","title"
"357","DE","TX",178,1.78,"178 days shared in 2020"
"358","DE","UT",269,2.69,"269 days shared in 2020"
"359","DE","VA",277,2.77,"277 days shared in 2020"
"360","DE","VT",242,2.42,"242 days shared in 2020"
"361","DE","WA",224,2.24,"224 days shared in 2020"
"362","DE","WI",55,0.55,"55 days shared in 2020"
"363","DE","WV",227,2.27,"227 days shared in 2020"
"364","DE","WY",282,2.82,"282 days shared in 2020"
"365","FL","GA",34,0.34,"34 days shared in 2020"
"366","FL","HI",26,0.26,"26 days shared in 2020"
"367","FL","IA",103,1.03,"103 days shared in 2020"
"368","FL","ID",34,0.34,"34 days shared in 2020"
"369","FL","IL",103,1.03,"103 days shared in 2020"
"370","FL","IN",103,1.03,"103 days shared in 2020"
"371","FL","KS",157,1.57,"157 days shared in 2020"
"372","FL","KY",92,0.92,"92 days shared in 2020"
"373","FL","LA",89,0.89,"89 days shared in 2020"
"374","FL","MA",2,0.02,"2 days shared in 2020"
"375","FL","MD",108,1.08,"108 days shared in 2020"
"376","FL","ME",104,1.04,"104 days shared in 2020"
"377","FL","MI",110,1.1,"110 days shared in 2020"
"378","FL","MN",33,0.33,"33 days shared in 2020"
"379","FL","MO",153,1.53,"153 days shared in 2020"
"380","FL","MS",96,0.96,"96 days shared in 2020"
"381","FL","MT",79,0.79,"79 days shared in 2020"
"382","FL","NC",5,0.05,"5 days shared in 2020"
"383","FL","ND",96,0.96,"96 days shared in 2020"
"384","FL","NE",118,1.18,"118 days shared in 2020"
"385","FL","NH",100,1,"100 days shared in 2020"
"386","FL","NJ",100,1,"100 days shared in 2020"
"387","FL","NM",112,1.12,"112 days shared in 2020"
"388","FL","NV",60,0.6,"60 days shared in 2020"
"389","FL","NY",109,1.09,"109 days shared in 2020"
"390","FL","OH",88,0.88,"88 days shared in 2020"
"391","FL","OK",85,0.85,"85 days shared in 2020"
"392","FL","OR",90,0.9,"90 days shared in 2020"
"393","FL","PA",160,1.6,"160 days shared in 2020"
"394","FL","RI",84,0.84,"84 days shared in 2020"
"395","FL","SC",79,0.79,"79 days shared in 2020"
"396","FL","SD",100,1,"100 days shared in 2020"
"397","FL","TN",96,0.96,"96 days shared in 2020"
"398","FL","TX",166,1.66,"166 days shared in 2020"
"399","FL","UT",76,0.76,"76 days shared in 2020"
"400","FL","VA",86,0.86,"86 days shared in 2020"
"401","FL","VT",96,0.96,"96 days shared in 2020"
"402","FL","WA",36,0.36,"36 days shared in 2020"
"403","FL","WI",156,1.56,"156 days shared in 2020"
"404","FL","WV",38,0.38,"38 days shared in 2020"
"405","FL","WY",90,0.9,"90 days shared in 2020"
"406","GA","HI",270,2.7,"270 days shared in 2020"
"407","GA","IA",216,2.16,"216 days shared in 2020"
"408","GA","ID",289,2.89,"289 days shared in 2020"
"409","GA","IL",215,2.15,"215 days shared in 2020"
"410","GA","IN",204,2.04,"204 days shared in 2020"
"411","GA","KS",2,0.02,"2 days shared in 2020"
"412","GA","KY",173,1.73,"173 days shared in 2020"
"413","GA","LA",179,1.79,"179 days shared in 2020"
"414","GA","MA",78,0.78,"78 days shared in 2020"
"415","GA","MD",213,2.13,"213 days shared in 2020"
"416","GA","ME",206,2.06,"206 days shared in 2020"
"417","GA","MI",205,2.05,"205 days shared in 2020"
"418","GA","MN",249,2.49,"249 days shared in 2020"
"419","GA","MO",23,0.23,"23 days shared in 2020"
"420","GA","MS",223,2.23,"223 days shared in 2020"
"421","GA","MT",219,2.19,"219 days shared in 2020"
"422","GA","NC",162,1.62,"162 days shared in 2020"
"423","GA","ND",51,0.51,"51 days shared in 2020"
"424","GA","NE",178,1.78,"178 days shared in 2020"
"425","GA","NH",201,2.01,"201 days shared in 2020"
"426","GA","NJ",206,2.06,"206 days shared in 2020"
"427","GA","NM",1,0.01,"1 days shared in 2020"
"428","GA","NV",259,2.59,"259 days shared in 2020"
"429","GA","NY",210,2.1,"210 days shared in 2020"
"430","GA","OH",214,2.14,"214 days shared in 2020"
"431","GA","OK",223,2.23,"223 days shared in 2020"
"432","GA","OR",201,2.01,"201 days shared in 2020"
"433","GA","PA",45,0.45,"45 days shared in 2020"
"434","GA","RI",216,2.16,"216 days shared in 2020"
