"","state_one","state_two","gathering_bans_overLap"
"1025","NH","SC",60
"1026","NH","SD",211
"1027","NH","TN",259
"1028","NH","TX",28
"1029","NH","UT",80
"1030","NH","VA",77
"1031","NH","VT",46
"1032","NH","WA",26
"1033","NH","WI",195
"1034","NH","WV",53
"1035","NH","WY",62
"1036","NJ","NM",67
"1037","NJ","NV",117
"1038","NJ","NY",6
"1039","NJ","OH",65
"1040","NJ","OK",36
"1041","NJ","OR",196
"1042","NJ","PA",5
"1043","NJ","RI",109
"1044","NJ","SC",5
"1045","NJ","SD",5
"1046","NJ","TN",65
"1047","NJ","TX",5
"1048","NJ","UT",11
"1049","NJ","VA",63
"1050","NJ","VT",110
"1051","NJ","WA",48
"1052","NJ","WI",5
"1053","NJ","WV",46
"1054","NJ","WY",60
"1055","NM","NV",32
"1056","NM","NY",25
"1057","NM","OH",286
"1058","NM","OK",36
"1059","NM","OR",30
"1060","NM","PA",25
"1061","NM","RI",96
"1062","NM","SC",5
"1063","NM","SD",5
"1064","NM","TN",77
"1065","NM","TX",188
"1066","NM","UT",28
"1067","NM","VA",98
"1068","NM","VT",49
"1069","NM","WA",180
"1070","NM","WI",15
"1071","NM","WV",87
"1072","NM","WY",84
"1073","NV","NY",144
"1074","NV","OH",28
"1075","NV","OK",20
"1076","NV","OR",103
"1077","NV","PA",51
"1078","NV","RI",81
"1079","NV","SC",13
"1080","NV","SD",13
"1081","NV","TN",32
"1082","NV","TX",13
"1083","NV","UT",158
"1084","NV","VA",57
"1085","NV","VT",60
"1086","NV","WA",92
"1087","NV","WI",45
"1088","NV","WV",20
"1089","NV","WY",135
"1090","NY","OH",31
"1091","NY","OK",1
"1092","NY","OR",65
"1093","NY","PA",48
"1094","NY","RI",22
"1095","NY","SC",1
"1096","NY","SD",1
"1097","NY","TN",1
"1098","NY","TX",1
"1099","NY","UT",140
"1100","NY","VA",20
"1101","NY","VT",35
"1102","NY","WA",87
"1103","NY","WI",52
"1104","NY","WV",1
"1105","NY","WY",152
"1106","OH","OK",32
"1107","OH","OR",30
"1108","OH","PA",21
"1109","OH","RI",91
"1110","OH","SC",1
"1111","OH","SD",1
"1112","OH","TN",73
"1113","OH","TX",184
"1114","OH","UT",20
"1115","OH","VA",94
"1116","OH","VT",48
"1117","OH","WA",179
"1118","OH","WI",11
"1119","OH","WV",83
"1120","OH","WY",77
"1121","OK","OR",1
"1122","OK","PA",13
"1123","OK","RI",42
"1124","OK","SC",114
"1125","OK","SD",265
"1126","OK","TN",255
"1127","OK","TX",82
"1128","OK","UT",79
"1129","OK","VA",35
"1130","OK","VT",33
"1131","OK","WA",2
"1132","OK","WI",229
"1133","OK","WV",44
"1134","OK","WY",40
"1135","OR","PA",64
"1136","OR","RI",15
"1137","OR","SC",1
"1138","OR","SD",1
"1139","OR","TN",13
"1140","OR","TX",30
"1141","OR","UT",36
"1142","OR","VA",19
"1143","OR","VT",49
"1144","OR","WA",81
"1145","OR","WI",52
"1146","OR","WV",30
"1147","OR","WY",24
"1148","PA","RI",131
"1149","PA","SC",21
"1150","PA","SD",21
"1151","PA","TN",24
"1152","PA","TX",41
"1153","PA","UT",38
"1154","PA","VA",63
"1155","PA","VT",145
"1156","PA","WA",45
"1157","PA","WI",48
"1158","PA","WV",176
"1159","PA","WY",63
"1160","RI","SC",11
"1161","RI","SD",11
"1162","RI","TN",71
"1163","RI","TX",31
"1164","RI","UT",11
"1165","RI","VA",73
"1166","RI","VT",241
"1167","RI","WA",72
"1168","RI","WI",6
"1169","RI","WV",164
"1170","RI","WY",72
"1171","SC","SD",145
"1172","SC","TN",85
"1173","SC","TX",113
"1174","SC","UT",6
"1175","SC","VA",109
"1176","SC","VT",2
"1177","SC","WA",2
"1178","SC","WI",88
"1179","SC","WV",13
"1180","SC","WY",9
"1181","SD","TN",224
"1182","SD","TX",113
"1183","SD","UT",76
"1184","SD","VA",4
"1185","SD","VT",2
"1186","SD","WA",2
"1187","SD","WI",229
"1188","SD","WV",13
"1189","SD","WY",9
"1190","TN","TX",65
"1191","TN","UT",68
"1192","TN","VA",75
"1193","TN","VT",46
"1194","TN","WA",2
"1195","TN","WI",208
"1196","TN","WV",65
"1197","TN","WY",74
"1198","TX","UT",21
"1199","TX","VA",22
"1200","TX","VT",2
"1201","TX","WA",140
"1202","TX","WI",66
"1203","TX","WV",54
"1204","TX","WY",32
"1205","UT","VA",33
"1206","UT","VT",9
"1207","UT","WA",52
"1208","UT","WI",115
"1209","UT","WV",21
"1210","UT","WY",134
"1211","VA","VT",45
"1212","VA","WA",15
"1213","VA","WI",4
"1214","VA","WV",68
"1215","VA","WY",110
"1216","VT","WA",67
"1217","VT","WI",9
"1218","VT","WV",170
"1219","VT","WY",58
"1220","WA","WI",69
"1221","WA","WV",2
"1222","WA","WY",2
"1223","WI","WV",6
"1224","WI","WY",6
"1225","WV","WY",94
